user_id,book_id,predicted_score,rank
U0237,BOK_110,5.0,1
U0237,BOK_295,5.0,2
U0237,BOK_056,5.0,3
U0237,BOK_094,5.0,4
U0237,BOK_238,4.885386729576168,5
U0237,BOK_117,4.869462006375357,6
U0237,BOK_294,4.8037401251919745,7
U0237,BOK_017,4.801400530647522,8
U0237,BOK_167,4.763887154899003,9
U0237,BOK_009,4.744428557919837,10
U0301,BOK_110,5.0,1
U0301,BOK_295,5.0,2
U0301,BOK_238,5.0,3
U0301,BOK_056,5.0,4
U0301,BOK_094,5.0,5
U0301,BOK_141,5.0,6
U0301,BOK_117,5.0,7
U0301,BOK_294,4.995272363444567,8
U0301,BOK_167,4.965031790301671,9
U0301,BOK_193,4.902003482982714,10
U0344,BOK_295,4.611187595406482,1
U0344,BOK_110,4.5354758894131315,2
U0344,BOK_056,4.5198799123266165,3
U0344,BOK_117,4.496919078410982,4
U0344,BOK_294,4.437551895709745,5
U0344,BOK_237,4.422033448706832,6
U0344,BOK_141,4.419301029825044,7
U0344,BOK_094,4.414920610783574,8
U0344,BOK_009,4.372592938813746,9
U0344,BOK_193,4.290887314713731,10
U0469,BOK_295,4.700189635537933,1
U0469,BOK_056,4.618760519367462,2
U0469,BOK_094,4.614331139882202,3
U0469,BOK_117,4.529606750624373,4
U0469,BOK_110,4.47149391959255,5
U0469,BOK_273,4.394601989523786,6
U0469,BOK_167,4.3884832296689344,7
U0469,BOK_238,4.378063808464226,8
U0469,BOK_193,4.342932271138826,9
U0469,BOK_294,4.290056720747796,10
U0376,BOK_056,4.287487171739747,1
U0376,BOK_295,4.202877348215533,2
U0376,BOK_110,4.0894009285214725,3
U0376,BOK_193,3.969479332604517,4
U0376,BOK_167,3.9421172751049944,5
U0376,BOK_117,3.938491660043546,6
U0376,BOK_294,3.9383044518290653,7
U0376,BOK_017,3.935490876323542,8
U0376,BOK_088,3.922212742142768,9
U0376,BOK_009,3.9181966770309815,10
U0145,BOK_110,5.0,1
U0145,BOK_133,5.0,2
U0145,BOK_237,5.0,3
U0145,BOK_295,5.0,4
U0145,BOK_009,5.0,5
U0145,BOK_294,5.0,6
U0145,BOK_101,5.0,7
U0145,BOK_238,5.0,8
U0145,BOK_167,5.0,9
U0145,BOK_193,5.0,10
U0254,BOK_295,4.757900834217659,1
U0254,BOK_110,4.61587080211905,2
U0254,BOK_094,4.549051869550159,3
U0254,BOK_017,4.536083266529467,4
U0254,BOK_238,4.493251713409238,5
U0254,BOK_117,4.48872094526866,6
U0254,BOK_056,4.41229877424655,7
U0254,BOK_234,4.369834828737027,8
U0254,BOK_273,4.365242652827631,9
U0254,BOK_193,4.355535299934439,10
U0179,BOK_295,4.582312576005879,1
U0179,BOK_056,4.549965271818543,2
U0179,BOK_035,4.484152852006073,3
U0179,BOK_110,4.47626424741026,4
U0179,BOK_294,4.397341138094269,5
U0179,BOK_141,4.28516266950008,6
U0179,BOK_167,4.284237219870659,7
U0179,BOK_128,4.274404046767221,8
U0179,BOK_234,4.266604159611649,9
U0179,BOK_117,4.254108348224568,10
U0427,BOK_117,4.7054322609574735,1
U0427,BOK_110,4.625220206923625,2
U0427,BOK_295,4.5095917528977125,3
U0427,BOK_056,4.473848229190257,4
U0427,BOK_017,4.467278786881774,5
U0427,BOK_237,4.4576391564809805,6
U0427,BOK_234,4.443241381704674,7
U0427,BOK_294,4.407792320268179,8
U0427,BOK_238,4.3744169445526015,9
U0427,BOK_094,4.373594628318955,10
U0006,BOK_295,4.881555464823862,1
U0006,BOK_110,4.811751394924031,2
U0006,BOK_141,4.783416456169193,3
U0006,BOK_056,4.759701057499323,4
U0006,BOK_094,4.742900760337456,5
U0006,BOK_117,4.709088794835631,6
U0006,BOK_009,4.605292318538057,7
U0006,BOK_234,4.552315223002426,8
U0006,BOK_035,4.548793363945602,9
U0006,BOK_193,4.50153137600877,10
U0215,BOK_110,5.0,1
U0215,BOK_238,5.0,2
U0215,BOK_273,5.0,3
U0215,BOK_193,5.0,4
U0215,BOK_056,5.0,5
U0215,BOK_094,5.0,6
U0215,BOK_117,5.0,7
U0215,BOK_017,5.0,8
U0215,BOK_167,4.995538534267641,9
U0215,BOK_133,4.968498965086179,10
U0143,BOK_056,4.2241835187069166,1
U0143,BOK_110,4.192814850458672,2
U0143,BOK_238,4.096731875784919,3
U0143,BOK_035,4.0939416440552705,4
U0143,BOK_295,4.076738611352431,5
U0143,BOK_117,4.060182995916462,6
U0143,BOK_294,4.059307428170746,7
U0143,BOK_101,4.011296917039371,8
U0143,BOK_094,3.987230969310382,9
U0143,BOK_141,3.964564639769768,10
U0221,BOK_056,4.846778599063607,1
U0221,BOK_141,4.55874794322316,2
U0221,BOK_295,4.536661216817748,3
U0221,BOK_117,4.523324073867165,4
U0221,BOK_273,4.502542173919527,5
U0221,BOK_017,4.481924582957635,6
U0221,BOK_128,4.477184683849866,7
U0221,BOK_294,4.456311627406541,8
U0221,BOK_101,4.456083472190451,9
U0221,BOK_110,4.448908725432397,10
U0226,BOK_110,5.0,1
U0226,BOK_117,4.866932105796154,2
U0226,BOK_295,4.806466841534837,3
U0226,BOK_094,4.7913046633361285,4
U0226,BOK_237,4.758793912453133,5
U0226,BOK_238,4.752602439309158,6
U0226,BOK_234,4.727501298816879,7
U0226,BOK_056,4.7221247126845896,8
U0226,BOK_167,4.715428345269083,9
U0226,BOK_009,4.616400667429357,10
U0198,BOK_056,4.01415845300111,1
U0198,BOK_294,3.9492625481269203,2
U0198,BOK_295,3.929550094834534,3
U0198,BOK_110,3.913189174269511,4
U0198,BOK_094,3.863182656830012,5
U0198,BOK_117,3.8174497574664907,6
U0198,BOK_273,3.798279329971032,7
U0198,BOK_128,3.7486222494370294,8
U0198,BOK_017,3.7210428465890075,9
U0198,BOK_024,3.7129308478758345,10
U0002,BOK_295,4.92251379143619,1
U0002,BOK_294,4.882524799043233,2
U0002,BOK_056,4.881740344307437,3
U0002,BOK_094,4.862270182578315,4
U0002,BOK_237,4.8324261436559155,5
U0002,BOK_238,4.8245531346743755,6
U0002,BOK_117,4.803150923343445,7
U0002,BOK_110,4.724587693854955,8
U0002,BOK_273,4.615451615792158,9
U0002,BOK_141,4.611890921661104,10
U0460,BOK_238,4.659669765877219,1
U0460,BOK_110,4.603408880288971,2
U0460,BOK_167,4.532494511038681,3
U0460,BOK_117,4.449680940639491,4
U0460,BOK_295,4.449438975218215,5
U0460,BOK_094,4.446454988479893,6
U0460,BOK_141,4.444105464224883,7
U0460,BOK_234,4.43122309478316,8
U0460,BOK_056,4.405799731645549,9
U0460,BOK_294,4.404674392812048,10
U0067,BOK_056,5.0,1
U0067,BOK_294,4.862596995672173,2
U0067,BOK_238,4.779301149185724,3
U0067,BOK_128,4.763085278340098,4
U0067,BOK_141,4.7611521873852,5
U0067,BOK_237,4.760212339237719,6
U0067,BOK_094,4.740086082864378,7
U0067,BOK_017,4.705121765126077,8
U0067,BOK_110,4.700782093252958,9
U0067,BOK_167,4.668760581012709,10
U0466,BOK_056,4.781367063280387,1
U0466,BOK_117,4.637203814196299,2
U0466,BOK_294,4.558616954982654,3
U0466,BOK_238,4.523776660879175,4
U0466,BOK_009,4.510792676200912,5
U0466,BOK_237,4.49583492389414,6
U0466,BOK_295,4.482291833579132,7
U0466,BOK_094,4.478476958772331,8
U0466,BOK_110,4.451004636304301,9
U0466,BOK_167,4.438679802393583,10
U0051,BOK_167,4.678616486459681,1
U0051,BOK_056,4.665926652748946,2
U0051,BOK_110,4.658588839884641,3
U0051,BOK_238,4.5829028734946,4
U0051,BOK_117,4.563619095551999,5
U0051,BOK_009,4.563188236742404,6
U0051,BOK_141,4.56153432904807,7
U0051,BOK_094,4.558008138248927,8
U0051,BOK_295,4.545571301979811,9
U0051,BOK_193,4.489510137168479,10
U0239,BOK_056,4.91077880352282,1
U0239,BOK_117,4.7732497668117295,2
U0239,BOK_110,4.770833022940428,3
U0239,BOK_295,4.749064154849887,4
U0239,BOK_094,4.701105197178252,5
U0239,BOK_294,4.675549543438092,6
U0239,BOK_167,4.6708031368872565,7
U0239,BOK_017,4.634545936465875,8
U0239,BOK_237,4.60457552849032,9
U0239,BOK_133,4.595239016324125,10
U0182,BOK_056,4.811883829198748,1
U0182,BOK_295,4.789397630807407,2
U0182,BOK_094,4.760480461355494,3
U0182,BOK_117,4.734068439510123,4
U0182,BOK_110,4.711620930449452,5
U0182,BOK_238,4.69758361742154,6
U0182,BOK_167,4.671147640485658,7
U0182,BOK_009,4.629075398185149,8
U0182,BOK_088,4.5900032553480505,9
U0182,BOK_024,4.552159018715505,10
U0152,BOK_094,4.040676676278825,1
U0152,BOK_110,4.0062527173184455,2
U0152,BOK_117,3.990009373919502,3
U0152,BOK_295,3.9439082773463854,4
U0152,BOK_141,3.9288651854450145,5
U0152,BOK_017,3.9213884365577987,6
U0152,BOK_238,3.856463766726298,7
U0152,BOK_167,3.848023596142089,8
U0152,BOK_056,3.78308724977895,9
U0152,BOK_294,3.778270172477688,10
U0302,BOK_110,5.0,1
U0302,BOK_237,5.0,2
U0302,BOK_295,5.0,3
U0302,BOK_238,5.0,4
U0302,BOK_193,5.0,5
U0302,BOK_056,5.0,6
U0302,BOK_094,5.0,7
U0302,BOK_141,5.0,8
U0302,BOK_117,5.0,9
U0302,BOK_017,4.977024231343194,10
U0065,BOK_294,5.0,1
U0065,BOK_056,5.0,2
U0065,BOK_295,4.991366183842526,3
U0065,BOK_094,4.98441688891122,4
U0065,BOK_237,4.969875056847939,5
U0065,BOK_088,4.906215854682623,6
U0065,BOK_193,4.89758611348163,7
U0065,BOK_117,4.894807562234276,8
U0065,BOK_110,4.8805600998669,9
U0065,BOK_035,4.853537710321079,10
U0434,BOK_110,4.909423106719687,1
U0434,BOK_056,4.878451710677526,2
U0434,BOK_238,4.804277324265138,3
U0434,BOK_009,4.70518830008184,4
U0434,BOK_237,4.686577412826724,5
U0434,BOK_117,4.684675362813575,6
U0434,BOK_193,4.660165540892753,7
U0434,BOK_234,4.656802999702319,8
U0434,BOK_035,4.650032193684531,9
U0434,BOK_094,4.615365249397748,10
U0098,BOK_110,4.86459892362262,1
U0098,BOK_117,4.830944575241724,2
U0098,BOK_295,4.764744177081146,3
U0098,BOK_056,4.731315894486116,4
U0098,BOK_094,4.728107149241257,5
U0098,BOK_193,4.675046222991281,6
U0098,BOK_273,4.666578247897792,7
U0098,BOK_237,4.616930442265751,8
U0098,BOK_024,4.6066528308862695,9
U0098,BOK_141,4.599115885737869,10
U0276,BOK_110,4.444848683167334,1
U0276,BOK_094,4.431360201973317,2
U0276,BOK_295,4.409326382072957,3
U0276,BOK_117,4.360365293862827,4
U0276,BOK_056,4.331783784499863,5
U0276,BOK_017,4.235183212652947,6
U0276,BOK_009,4.224185489575327,7
U0276,BOK_024,4.208244785346257,8
U0276,BOK_167,4.200000897866829,9
U0276,BOK_294,4.171080474888227,10
U0429,BOK_117,4.627507785406124,1
U0429,BOK_295,4.462906738384067,2
U0429,BOK_094,4.4435501068745,3
U0429,BOK_238,4.429839961613452,4
U0429,BOK_056,4.413597204732479,5
U0429,BOK_294,4.409814090305285,6
U0429,BOK_088,4.378278299954284,7
U0429,BOK_141,4.352689963500529,8
U0429,BOK_110,4.315451776413463,9
U0429,BOK_167,4.290600167166007,10
U0363,BOK_295,4.651339997689797,1
U0363,BOK_110,4.639921157277588,2
U0363,BOK_056,4.637447543009614,3
U0363,BOK_094,4.528444672421276,4
U0363,BOK_009,4.455573310077534,5
U0363,BOK_088,4.420543719758423,6
U0363,BOK_017,4.418886129286964,7
U0363,BOK_193,4.386393465938493,8
U0363,BOK_117,4.374024486490063,9
U0363,BOK_133,4.373364428605447,10
U0085,BOK_117,4.418381949317845,1
U0085,BOK_056,4.365044003312215,2
U0085,BOK_101,4.295605778301176,3
U0085,BOK_295,4.236482579011755,4
U0085,BOK_094,4.231768139324404,5
U0085,BOK_273,4.202317364207834,6
U0085,BOK_110,4.175583772586339,7
U0085,BOK_020,4.158024031749124,8
U0085,BOK_024,4.155429369498291,9
U0085,BOK_294,4.1509184231263205,10
U0371,BOK_056,4.457549604718481,1
U0371,BOK_094,4.415182502041786,2
U0371,BOK_117,4.401658676255049,3
U0371,BOK_009,4.357506138491075,4
U0371,BOK_238,4.340662110299518,5
U0371,BOK_110,4.293222167454353,6
U0371,BOK_101,4.228549817280102,7
U0371,BOK_167,4.222230038298404,8
U0371,BOK_234,4.156413472811588,9
U0371,BOK_133,4.149461333404995,10
U0327,BOK_295,4.6507303991689435,1
U0327,BOK_110,4.577893107403048,2
U0327,BOK_141,4.528692114027069,3
U0327,BOK_017,4.518563578757428,4
U0327,BOK_094,4.511838287709686,5
U0327,BOK_024,4.5084486733743665,6
U0327,BOK_273,4.493566484172587,7
